timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
18459,None,None,0.0138491
18460,0.0133514,0.0136256,None
18506,None,None,0.0136375
18507,0.0133514,0.0134379,None
18538,None,None,0.0137061
18539,0.0133514,0.0134587,None
18649,0.0133514,0.0134319,0.013122
18680,0.0133693,0.0133932,0.0133514
18696,0.0133693,0.0134021,0.0134498
18728,0.0133693,0.0133753,0.0131607
18760,0.0133693,0.0133395,0.013122
18791,None,None,0.0135601
18792,0.0133693,0.0133246,None
18949,0.0133693,0.0132054,0.0128657
18997,0.0133693,0.0131547,0.0125021
19076,0.0133693,0.0131458,0.0127345
19108,0.0133693,0.0131309,0.0128061
19139,None,None,0.0129282
19140,0.0133693,0.0131518,None
19188,0.0133544,0.0130743,0.0126362
19267,0.0133544,0.013122,0.01266
19330,0.0133544,0.0131309,0.0127643
19361,0.0133544,0.013119,0.0130981
19408,0.0133544,0.0132173,0.0135869
19487,0.0133544,0.0132203,0.0140041
19518,0.0133544,0.0132114,0.0138998
19550,0.0133544,0.0131488,0.0139207
19581,0.0133544,0.0131518,0.0138432
19613,0.0133544,0.0131726,0.0138879
19691,None,None,0.0132233
19692,0.0133663,0.0131845,None
19738,None,0.0131965,0.0134975
19739,0.0133663,None,None
19770,0.0133663,0.0132293,0.0135839
20150,0.0133663,0.0211,0.0394464
20182,0.0142336,0.0223428,0.0408202
20292,None,None,0.0425994
20293,0.0142336,0.0261366,None
20340,0.0142336,0.0264347,0.0405759
20372,None,0.0264823,0.0347853
20373,0.0142336,None,None
20403,0.0142336,0.0266075,0.0284761
20436,0.0142336,0.0270069,0.023514
20531,None,None,0.0223637
20532,0.0142336,0.028041,None
20971,0.0151306,0.0391245,0.0549525
21003,0.0151306,0.209215,1.1395
21114,None,0.382251,1.79153
21115,0.0151306,None,None
21162,0.0561565,0.43008,2.01192
21193,0.0561565,0.45287,1.41916
21368,None,None,0.889468
21369,0.0561565,0.608972,None
21400,0.0561565,0.633618,0.889963
21542,None,0.753579,0.868863
21543,0.0561565,None,None
21575,0.0561565,0.775334,0.832027
21671,0.098753,0.856966,0.873059
21955,0.098753,1.05151,0.749472
21987,None,None,0.732324
21988,0.098753,0.978607,None
22192,0.135964,0.809348,0.753105
22223,None,None,0.76229
22224,0.135964,0.808084,None
22300,None,None,0.777784
22301,0.135964,0.80018,None
22368,0.135964,0.782177,0.731802
22462,None,None,0.845537
22463,0.135964,0.793836,None
22744,0.168341,0.684953,0.463322
22792,0.168341,0.669318,0.448281
22824,0.168341,0.660801,0.454122
22967,None,None,0.400808
22968,0.168341,0.608805,None
22999,None,0.594342,0.380662
23000,0.168341,None,None
23031,0.168341,0.574651,0.354543
23063,0.168341,0.564167,0.324744
23094,0.168341,0.547585,0.304714
23189,None,None,0.301114
23190,0.186142,0.504804,None
23222,0.186142,0.491458,0.314987
23476,0.186142,0.383607,0.361019
23570,None,None,0.395852
23571,0.186142,0.377285,None
23603,0.186142,0.3764,0.398043
23634,0.186142,0.373161,0.388011
23738,0.203657,0.351804,0.314239
23810,0.203657,0.343221,0.286189
23855,None,None,0.298616
23856,0.203657,0.338277,None
23983,0.203657,0.335482,0.343606
24015,None,None,0.344524
24016,0.203657,0.338292,None
24047,0.203657,0.340235,0.340989
24150,0.203657,0.339183,0.313044
24222,0.218627,0.338233,0.313663
24285,0.218627,0.338861,0.326332
24316,None,None,0.328887
24317,0.218627,0.337389,None
24538,0.218627,0.319132,0.30036
24618,0.218627,0.313798,0.316671
24663,None,None,0.326025
24664,0.23396,0.316009,None
24696,None,0.319493,0.325567
24697,0.23396,None,None
24822,None,0.326464,0.353345
24823,0.23396,None,None
24854,0.23396,0.328222,0.363806
25013,0.23396,0.332701,0.376165
25221,0.250378,0.329509,0.298595
25347,0.250378,0.331193,0.338066
